name,value,unit,source,derivation
seed,20260916,integer,por_monthly.csv,"the seed column, constant down the file"
run_date,2026-09-16,date,por_monthly.csv,"the run_date column, constant down the file"
horizon_months,60,months,por_monthly.csv,row count
n_paths,20000,paths,por_paths.csv,row count
out_csv_count,23,count,out/,how many .csv files the out directory holds
out_csv_gated_count,2,count,out/,how many of them the character-for-character harness gate rebuilds and compares
n_drivers,80,count,drivers.csv,row count
driver_anchor_u_low,0.000000,driver units,drivers.csv,the low column for anchor_u
driver_anchor_u_high,1.000000,driver units,drivers.csv,the high column for anchor_u
driver_anchor_u_low_pct,0.000000,per cent,drivers.csv,"the low column for anchor_u, as a percentage"
driver_anchor_u_high_pct,100.000000,per cent,drivers.csv,"the high column for anchor_u, as a percentage"
driver_price_uk_tut_gbp_low,14.000000,driver units,drivers.csv,the low column for price_uk_tut_gbp
driver_price_uk_tut_gbp_high,42.000000,driver units,drivers.csv,the high column for price_uk_tut_gbp
driver_price_uk_tut_gbp_mode,22.000000,driver units,drivers.csv,the mode column for price_uk_tut_gbp
driver_price_uk_tut_gbp_low_pct,1400.000000,per cent,drivers.csv,"the low column for price_uk_tut_gbp, as a percentage"
driver_price_uk_tut_gbp_high_pct,4200.000000,per cent,drivers.csv,"the high column for price_uk_tut_gbp, as a percentage"
driver_price_uk_sw_gbp_low,3.500000,driver units,drivers.csv,the low column for price_uk_sw_gbp
driver_price_uk_sw_gbp_high,13.000000,driver units,drivers.csv,the high column for price_uk_sw_gbp
driver_price_uk_sw_gbp_mode,7.000000,driver units,drivers.csv,the mode column for price_uk_sw_gbp
driver_price_uk_sw_gbp_low_pct,350.000000,per cent,drivers.csv,"the low column for price_uk_sw_gbp, as a percentage"
driver_price_uk_sw_gbp_high_pct,1300.000000,per cent,drivers.csv,"the high column for price_uk_sw_gbp, as a percentage"
driver_price_rel_us_low,0.850000,driver units,drivers.csv,the low column for price_rel_us
driver_price_rel_us_high,1.450000,driver units,drivers.csv,the high column for price_rel_us
driver_price_rel_us_low_pct,85.000000,per cent,drivers.csv,"the low column for price_rel_us, as a percentage"
